Sample,Apo_Sym,Date_Deployed,Notes,spot,cage,X6.30.23,X7.5.23,X7.12.23,X7.19.23,X8.1.23,X8.9.23,X8.14.23,X8.23.23,8.28.23
87,APO,2023.06.23,,B2,S2,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
88,SYM,2023.06.21,,C2,S4,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
89,APO,2023.06.23,,B1,G2,healthy,healthy,healthy,healthy,dead,sick,healthy,healthy,healthy
90,APO,2023.06.23,,A1,G5,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,sick
91,APO,2023.06.21,,B1,D5,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
92,APO,2023.06.21,,B3,G2,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
93,SYM,2023.06.23,,C4,D4,healthy,healthy,sick,healthy,healthy,healthy,healthy,healthy,healthy
94,SYM,2023.06.21,,C3,D1,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
95,APO,2023.06.23,,A4,S1,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
96,APO,2023.06.21,,A3,G5,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
97,SYM,2023.06.23,,D3,G1,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,sick
98,SYM,2023.06.21,,D3,D4,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
99,APO,2023.06.23,,B1,S2,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
100,SYM,2023.06.21,,C2,D5,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
101,APO,2023.06.23,,B1,S4,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
102,SYM,2023.06.21,,D1,D4,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
103,APO,2023.06.21,,C1,G1,healthy,healthy,healthy,healthy,healthy,healthy,healthy,sick,healthy
104,SYM,2023.06.21,,B3,G1,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
105,APO,2023.06.21,,A1,G1,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
106,APO,2023.06.21,,B1,G5,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
107,SYM,2023.06.21,,C3,D2,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
108,APO,2023.06.23,,A4,D1,healthy,healthy,healthy,healthy,healthy,dead,sick,healthy,sick
109,SYM,2023.06.21,,D4,S4,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
110,APO,2023.06.23,,B4,S5,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
111,SYM,2023.06.23,,C4,G4,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
112,SYM,2023.06.21,,D1,D5,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
113,APO,2023.06.23,,B1,D4,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
114,SYM,2023.06.21,,D3,G4,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
115,APO,2023.06.23,,A4,D2,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
116,SYM,2023.06.21,,C4,S4,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
117,SYM,2023.06.21,,D1,S4,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
118,SYM,2023.06.21,,D3,S4,healthy,sick,healthy,healthy,healthy,healthy,healthy,healthy,healthy
119,SYM,2023.06.21,,C4,D2,healthy,healthy,healthy,healthy,healthy,healthy,healthy,sick,healthy
120,SYM,2023.06.21,,C3,S1,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
121,APO,2023.06.21,,B4,S4,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
122,APO,2023.06.21,,B2,S4,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
123,SYM,2023.06.21,,C2,S2,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
124,APO,2023.06.21,,A4,G4,sick,sick,sick,sick,sick,sick,healthy,healthy,healthy
125,APO,2023.06.21,,C2,G1,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
126,APO,2023.06.21,,B2,G2,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
127,APO,2023.06.21,,A1,G4,healthy,healthy,sick,healthy,healthy,healthy,healthy,healthy,healthy
128,APO,2023.06.23,,B3,G4,healthy,healthy,healthy,healthy,healthy,sick,healthy,healthy,healthy
129,SYM,2023.06.23,,C1,S4,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
130,SYM,2023.06.21,,C2,G2,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
131,SYM,2023.06.21,,C1,S2,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
132,APO,2023.06.23,,A1,S2,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
133,APO,2023.06.21,,A1,D4,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
134,SYM,2023.06.21,,C1,G4,healthy,dead,healthy,healthy,healthy,healthy,healthy,healthy,healthy
135,APO,2023.06.21,,A4,D4,healthy,healthy,healthy,sick,sick,healthy,healthy,healthy,healthy
136,SYM,2023.06.21,,D3,D5,healthy,healthy,healthy,healthy,healthy,healthy,healthy,sick,healthy
137,APO,2023.06.21,,A2,D5,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
138,SYM,2023.06.21,,C3,D5,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
139,SYM,2023.06.21,,C2,S5,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
140,APO,2023.06.23,,A2,G1,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
141,APO,2023.06.23,,B1,S5,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,sick
142,SYM,2023.06.21,,C3,G2,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
143,SYM,2023.06.21,,C1,S1,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
144,SYM,2023.06.21,,D3,S2,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
145,APO,2023.06.21,,D1,G1,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
146,SYM,2023.06.21,,D3,G2,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
147,APO,2023.06.23,,B4,S2,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
148,SYM,2023.06.21,,D4,S5,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
149,APO,2023.06.21,,A3,D5,healthy,healthy,healthy,healthy,healthy,healthy,healthy,sick,healthy
150,SYM,2023.06.21,,D2,S4,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
151,APO,2023.06.21,,A3,S4,healthy,sick,healthy,healthy,healthy,healthy,healthy,healthy,healthy
152,?,?,,A1,D1,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
153,SYM,2023.06.21,,C2,D1,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
154,SYM,2023.06.21,,C3,D4,healthy,healthy,healthy,healthy,healthy,sick,healthy,healthy,healthy
155,APO,2023.06.21,,B2,G5,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
156,SYM,2023.06.21,,D3,S5,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
157,APO,2023.06.21,,A3,D2,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
158,SYM,2023.06.21,,D2,G4,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
159,APO,2023.06.21,,B1,G1,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,sick
160,APO,2023.06.21,,B3,S4,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
161,APO,2023.06.21,,A4,G2,healthy,healthy,healthy,healthy,healthy,healthy,healthy,sick,healthy
162,SYM,2023.06.23,,D2,D2,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
163,SYM,2023.06.21,,D1,S2,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
164,SYM,2023.06.21,,D1,D2,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
165,APO,2023.06.23,,A1,S4,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,sick
166,APO,2023.06.23,,A4,D5,healthy,sick,healthy,healthy,healthy,healthy,healthy,healthy,healthy
167,APO,2023.06.21,,A3,G2,healthy,healthy,healthy,healthy,healthy,sick,healthy,healthy,healthy
168,SYM,2023.06.21,,D1,S5,healthy,healthy,healthy,sick,sick,sick,sick,dead,sick
169,APO,2023.06.23,,B4,G2,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
170,SYM,2023.06.21,,D2,G2,healthy,healthy,healthy,healthy,healthy,sick,healthy,healthy,healthy
171,?,?,,D1,D1,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
172,APO,2023.06.21,,A2,S5,healthy,healthy,healthy,healthy,dead,dead,dead,dead,dead
173,SYM,2023.06.21,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
174,SYM,2023.06.21,,D2,D4,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
175,APO,2023.06.23,,B4,S1,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
176,SYM,2023.06.21,,C1,D1,healthy,healthy,healthy,healthy,healthy,healthy,healthy,sick,healthy
177,APO,2023.06.21,,A3,S1,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
178,SYM,2023.06.23,,C4,S1,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
179,SYM,2023.06.21,,C4,S5,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
180,APO,2023.06.21,,B3,D4,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
181,APO,2023.06.21,,A3,G4,healthy,healthy,healthy,sick,sick,sick,healthy,healthy,healthy
182,SYM,2023.06.23,,C4,D5,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
183,SYM,2023.06.21,,D3,S1,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
184,APO,2023.06.23,,A2,G5,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
185,SYM,2023.06.21,,C2,G5,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
186,SYM,2023.06.23,,C4,D1,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
187,APO,2023.06.21,,B2,S1,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
188,APO,2023.06.21,,A2,D2,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
189,APO,2023.06.21,,B1,D1,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
190,APO,2023.06.21,,A1,G2,healthy,dead,dead,dead,dead,dead,sick,dead,dead
191,APO,2023.06.23,,A4,S2,sick,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
192,SYM,2023.06.21,,A3,G1,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
193,APO,2023.06.21,,B2,G4,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
194,SYM,2023.06.21,,C2,S1,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
195,NA,NA,NA,D1,G2,empty,empty,empty,empty,empty,empty,empty,empty,empty
196,NA,NA,NA,D4,G5,healthy,empty,empty,empty,empty,empty,empty,empty,empty
197,NA,NA,NA,D4,D1,empty,empty,empty,empty,empty,empty,empty,empty,empty
198,NA,NA,NA,D4,D5,healthy,empty,empty,empty,empty,empty,empty,empty,empty
