sample,spot,cage,sample_id,apo_sym,date_deployed,date_collected,treatment,Notes,Present_in_lab,survival_6.30.23,survival_7.5.23,survival_7.12.23,survival_7.19.23,survival_8.1.23,survival_8.9.23,survival_8.14.23,survival_8.23.23,survival_8.28.23,survival_9.6.23,survival_9.13.23,survival_9.20.23,survival_9.29.23,survival_10.3.23,survival_10.10.23,end_status,date_mortality,days_alive
26,B1,G1,G1-B1-26,APO,2023.06.21,2023.10.09,control,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.9,111
152,B2,G1,G1-B2-152,APO,2023.06.21,2023.10.09,control,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.9,111
24,B3,G1,G1-B3-24,APO,2023.06.23,2023.10.09,control,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.9,109
118,C1,G1,G1-C1-118,SYM,2023.06.23,2023.10.09,control,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.9,109
50,C2,G1,G1-C2-50,SYM,2023.06.21,2023.10.09,control,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.9,111
125,C3,G1,G1-C3-125,SYM,2023.06.21,2023.10.09,control,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.9,111
231,C4,G1,G1-C4-231,SYM,2023.06.21,2023.10.09,control,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.9,111
22,D1,G1,G1-D1-22,SYM,2023.06.21,2023.10.09,control,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.9,111
13,D2,G1,G1-D2-13,SYM,2023.06.21,2023.10.09,control,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.9,111
82,D3,G1,G1-D3-82,SYM,2023.06.21,2023.10.09,control,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.9,111
