sample,spot,cage,sample_id,Apo_Sym,Date_Deployed,Date_Collected,Notes,Present_in_lab,6.30.23,7.5.23,7.12.23,7.19.23,8.1.23,8.9.23,8.14.23,8.23.23,8.28.23,9.6.23,9.13.23,9.20.23,9.29.23,10.3.23,10.10.23
46,A2,G4,G4-A2-46,APO,2023.06.21,NA,,NA,healthy,healthy,healthy,healthy,dead,dead,dead,dead,dead,empty,empty,empty,empty,empty,empty
216,A3,G4,G4-A3-216,APO,2023.06.21,2023.10.09,,NA,healthy,healthy,healthy,sick,sick,sick,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
151,A4,G4,G4-A4-151,APO,2023.06.21,2023.10.09,,NA,sick,sick,sick,sick,sick,sick,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
17,B1,G4,G4-B1-17,APO,2023.06.21,2023.10.09,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
232,B2,G4,G4-B2-232,APO,2023.06.21,2023.10.09,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
155,B3,G4,G4-B3-155,APO,2023.06.23,2023.10.09,,NA,healthy,healthy,healthy,healthy,healthy,sick,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
12,B4,G4,G4-B4-12,APO,2023.06.23,2023.10.09,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
162,C1,G4,G4-C1-162,SYM,2023.06.21,2023.10.09,,NA,healthy,dead,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
42,C2,G4,G4-C2-42,SYM,2023.06.21,2023.10.09,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
72,C3,G4,G4-C3-72,SYM,2023.06.21,2023.10.09,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,sick,healthy,healthy,healthy,healthy
134,C4,G4,G4-C4-134,SYM,2023.06.23,2023.10.09,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
6,D1,G4,G4-D1-6,SYM,2023.06.21,2023.10.09,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
189,D2,G4,G4-D2-189,SYM,2023.06.21,2023.10.09,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
138,D3,G4,G4-D3-138,SYM,2023.06.21,2023.10.09,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
40,D4,G4,G4-D4-40,SYM,2023.06.23,2023.10.09,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
107,A1,G5,G5-A1-107,APO,2023.06.23,2023.10.09,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,sick,healthy,sick,sick,healthy,healthy,healthy
220,A2,G5,G5-A2-220,APO,2023.06.23,2023.10.09,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
117,A3,G5,G5-A3-117,APO,2023.06.21,2023.10.09,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,sick,sick,healthy
14,A4,G5,G5-A4-14,APO,2023.06.21,2023.10.09,,NA,healthy,healthy,healthy,healthy,healthy,sick,healthy,healthy,healthy,healthy,healthy,healthy,dead,dead,healthy
127,B1,G5,G5-B1-127,APO,2023.06.21,2023.10.09,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
186,B2,G5,G5-B2-186,APO,2023.06.21,2023.10.09,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
