"","Sample","Apo_Sym","Date_Deployed","Notes","spot","cage","survival_6.30.23","survival_7.5.23","survival_7.12.23"
"183",219,"SYM","2023.06.21","","D3","S1","healthy","healthy","healthy"
"184",220,"APO","2023.06.23","","A2","G5","healthy","healthy","healthy"
"185",221,"SYM","2023.06.21","","C2","G5","healthy","healthy","healthy"
"186",222,"SYM","2023.06.23","","C4","D1","healthy","healthy","healthy"
"187",224,"APO","2023.06.21","","B2","S1","healthy","healthy","healthy"
"188",225,"APO","2023.06.21","","A2","D2","healthy","healthy","healthy"
"189",226,"APO","2023.06.21","","B1","D1","healthy","healthy","healthy"
"190",227,"APO","2023.06.21","","A1","G2","healthy","dead","dead"
"191",230,"APO","2023.06.23","","A4","S2","sick","healthy","healthy"
"192",231,"SYM","2023.06.21","","A3","G1","healthy","healthy","healthy"
"193",232,"APO","2023.06.21","","B2","G4","healthy","healthy","healthy"
"194",233,"SYM","2023.06.21","","C2","S1","healthy","healthy","healthy"
"195",NA,NA,NA,NA,"D1","G2","empty","empty","empty"
"196",NA,NA,NA,NA,"D4","G5","healthy","empty","empty"
"197",NA,NA,NA,NA,"D4","D1","empty","empty","empty"
"198",NA,NA,NA,NA,"D4","D5","healthy","empty","empty"
