sample_id,wax_dipping_inititals,wax_dipping_date,weight_before,weight_after,difference,surface_area
D1-A1-183,RMC,12/7/23,0.9354,1.161,0.2256,7.941504178
D1-C2-184,RMC,12/7/23,0.9994,1.1706,0.1712,6.426183844
D4-C3-185,RMC,12/7/23,1.6458,1.9487,0.3029,10.09470752
G5-B2-186,RMC,12/7/23,2.332,2.6441,0.3121,10.35097493
S5-D3-187,RMC,12/7/23,3.0356,3.6673,0.6317,19.25348189
D2-A3-188,RMC,12/7/23,1.1292,1.3069,0.1777,6.60724234
G4-D2-189,RMC,12/7/23,2.2076,2.5219,0.3143,10.41225627
G1-A3-190,RMC,12/7/23,1.3487,1.7152,0.3665,11.86629526
S4-B3-192,RMC,12/7/23,4.218,4.6828,0.4648,14.60445682
G2-A4-193,RMC,12/7/23,0.7673,0.8821,0.1148,4.855153203
D2-D2-194,RMC,12/7/23,2.5633,2.9556,0.3923,12.58495822
S2-D1-195,RMC,12/7/23,1.5347,1.7663,0.2316,8.108635097
D2-D1-196,RMC,12/7/23,1.1497,1.494,0.3443,11.24791086
S4-A1-198,RMC,12/7/23,0.8881,1.0375,0.1494,5.818941504
D5-A4-199,RMC,12/7/23,1.7454,2.1079,0.3625,11.75487465
G2-A3-200,RMC,12/7/23,8.5524,9.2429,0.6905,20.8913649
S5-D1-201,RMC,12/7/23,1.2194,1.5019,0.2825,9.526462396
G2-B4-202,RMC,12/7/23,1.4024,1.6021,0.1997,7.22005571
G2-D2-203,RMC,12/7/23,1.9112,2.3828,0.4716,14.79387187
D1-D1-206,RMC,12/7/23,0.8895,1.0466,0.1571,6.033426184
D4-D2-207,RMC,12/7/23,2.5421,3.0234,0.4813,15.06406685
S1-B4-208,RMC,12/7/23,0.8677,1.1127,0.245,8.48189415
D1-C1-209,RMC,12/7/23,1.5777,1.9,0.3223,10.63509749
S1-A3-210,RMC,12/7/23,2.7437,3.2094,0.4657,14.62952646
S1-C4-211,RMC,12/7/23,0.9353,1.078,0.1427,5.632311978
S5-C4-213,RMC,12/7/23,2.0378,2.4945,0.4567,14.37883008
D4-B3-214,RMC,12/7/23,2.5232,2.9921,0.4689,14.71866295
G4-A3-216,RMC,12/7/23,1.7932,2.1436,0.3504,11.4178273
D5-C4-217,RMC,12/7/23,1.6912,1.9574,0.2662,9.072423398
S1-D3-219,RMC,12/7/23,9.175,10.2974,1.1224,32.92200557
G5-A2-220,RMC,12/7/23,1.3318,1.5058,0.174,6.504178273
G5-C2-221,RMC,12/7/23,1.3491,1.8832,0.5341,16.53481894
D1-C4-222,RMC,12/7/23,1.8023,2.0583,0.256,8.788300836
S1-B2-224,RMC,12/7/23,2.8579,3.3773,0.5194,16.12534819
D2-A2-225,RMC,12/7/23,1.5341,1.8767,0.3426,11.2005571
D1-B1-226,RMC,12/7/23,1.0934,1.2898,0.1964,7.128133705
S2-A4-230,RMC,12/7/23,1.1327,1.3447,0.212,7.562674095
G1-C4-231,RMC,12/7/23,4.195,4.6693,0.4743,14.86908078
G4-B2-232,RMC,12/7/23,2.1869,2.6207,0.4338,13.74094708
S1-C2-233,RMC,12/7/23,2.7928,3.3478,0.555,17.11699164
